"location_id","address","city","facebook_places_id","lat","lng","name","short_name"
1241986,"8 Southwark Street","London, United Kingdom",146210155448494,51.505653825137998,-0.090508916666667,"Borough Market","Borough Market"
163727767907107,"","",163727767907107,-36.031331776332003,117.421875000000000,"Brexit","Brexit"
218211542,"","",111536878864748,61.000000000000000,14.550000000000001,"Mora, Sweden","Mora"
213633143,"","",108429795855423,50.850000000000001,4.350000000000000,"Brussels, Belgium","Brussels"
220575997,"","",105595846141884,55.572777777778000,-5.245833333333300,"Isle of Arran","Isle of Arran"
1030854175,"1 Rockingham Way","",1536147829934181,53.574305446594998,-1.211406515642300,"DFS Head Office","DFS Head Office"
717273612,"Tower Bridge Road","",168093449982186,51.351584522101000,0.094247544184415,"Tower Bridge, London","Tower Bridge"
219754485,"","",109450145753607,28.121540000000000,-16.724900000000002,"Adeje, Canarias, Spain","Adeje"
1561651337181441,"","England",1561651337181441,51.521749999999997,-0.125890000000030,"Russell Square","Russell Square"
219323,"","",103145123058362,51.485300000000002,-3.186700000000000,"Cardiff","Cardiff"
17728157,"Rue de la Loi","Brussels, Belgium",107898832590939,50.843562553704999,4.382600784301800,"European Commission","European Commission"
8562373,"Riverside Building, County Hall, Westminster Bridge Road, ","London, United Kingdom",51878489215,51.503364780310001,-0.119347349063370,"The Official London Eye","The Official London Eye"
1700174413579557,"40 blvd Haussmann","France",1700174413579557,48.873422413523997,2.331795154049100,"Galeries Lafayette","Galeries Lafayette"
488431810,"","",106422072722497,51.473599999999998,-0.091200000000000,"Camberwell","Camberwell"
249172236,"","",115597431784031,48.894107570617002,11.583000803260999,"Bayern, Germany","Bayern"
577880371,"","",180793718643106,50.850000000000001,4.350000000000000,"Brussels","Brussels"
1015670117,"Unit B1 Brearley Place, Baird Road","Gloucester, Gloucestershire",288451784576647,51.815062086363000,-2.272217273712200,"Race Developments","Race Developments"
292218,"Kensington Gardens","London, United Kingdom",152535684769859,51.504945468654000,-0.187506888497910,"Kensington Palace","Kensington Palace"
6186697,"Houses of Parliament","",104095576294503,51.499444444444002,-0.124166666666670,"Palace of Westminster","Palace of Westminster"
230429578,"","",112003908826570,51.125770000000003,1.317750000000000,"Dover, Kent","Dover"
211364562676261,"258 Kingsland Road","",211364562676261,51.537313521724002,-0.076603889465332,"Sin Gusano","Sin Gusano"
224652648,"","",110380555648442,51.495943930487996,-0.133553172715030,"Westminster","Westminster"
236478734,"","",110609938959493,48.612099999999998,2.478500000000000,"Corbeil-Essonnes, France","Corbeil-Essonnes"
220514641,"","",106108456094327,55.854109999999999,-4.434210000000000,"Paisley, Renfrewshire","Paisley"
213692875,"King's Gate","Newcastle upon Tyne",139577716095155,54.979121670334003,-1.615271146919100,"Newcastle University","Newcastle University"
229878714,"Upper Newtownards Rd","",124392447604865,54.599400000000003,-5.836670000000000,"Stormont Estate","Stormont Estate"
43222354,"London W1","",104113892957561,51.508755555556000,-0.147430555555560,"Mayfair","Mayfair"
233768934,"Westfield House, The links","",107467119283316,52.230861111110997,0.382250000000000,"Newmarket Racecourse","Newmarket Racecourse"
456562613,"","",132872370082552,52.478200000000001,-1.899840000000000,"New Street, Birmingham","New Street"
115741,"53 Park Lane","London, United Kingdom",33563257287,51.507128126641000,-0.152433032845440,"The Dorchester","The Dorchester"
356319094827324,"20 Fenchurch Street","",356319094827324,51.511177641228002,-0.083657404082053,"Sky Garden","Sky Garden"
221334029,"","",106263062746008,45.778399999999998,3.085800000000000,"Clermont-Ferrand, France","Clermont-Ferrand"
156077091612150,"","London, United Kingdom",156077091612150,51.511331615414001,-0.128437578678130,"Leicester Square","Leicester Square"
950664901672100,"One Western Gateway Royal Victoria Dock","London, Greater London",950664901672100,51.508152679873000,0.031997287187537,"ExCeL London Exhibition and Convention Centre","ExCeL London Exhibition and Convention Centre"
916970932,"70 Upper Street","London, United Kingdom",152674774808578,51.536090000000002,-0.103960000000000,"Immigration Connection","Immigration Connection"
213784902,"","",110445852316970,43.604399999999998,1.444300000000000,"Toulouse, France","Toulouse"
213991045,"","",114629675219759,53.479300000000002,-2.246300000000000,"Manchester, United Kingdom","Manchester"
213591862,"Oxford St","London, United Kingdom",220185188020934,51.515011645434001,-0.143318582151900,"Oxford Street","Oxford Street"
788830007,"248 Queen's Road East, Wan Chai","Hong Kong",309077815963995,22.274470000000001,114.173550000000006,"La Station","La Station"
504822481,"","",109943272365076,51.500999999999998,-0.142000000000000,"Buckingham Palace","Buckingham Palace"
224589295,"ul. Króla Jana III Sobieskiego","Swidnik",219479434745411,51.235896448529999,22.715513726472000,"Lublin Airport LUZ","Lublin Airport LUZ"
4216931,"","",104042962964380,52.899000000000001,-1.271000000000000,"Long Eaton","Long Eaton"
4196016,"8200 Westminster Blvd.","Westminster, California",126869922564,33.756610000000002,-117.985979999999998,"City of Westminster","City of Westminster"
597944289,"","Berlin, Germany",165201756974384,52.502783988475002,13.270320698691000,"FRUIT LOGISTICA","FRUIT LOGISTICA"
213110517,"","",115100621840245,43.611899999999999,3.877200000000000,"Montpellier, France","Montpellier"
484300057,"threadneedle street london Ec2","",487267854651561,51.510924664525000,-0.198743638412700,"Bank of England","Bank of England"
213528629,"","",102218393153696,47.471342999999997,-0.552324000000000,"Angers, France","Angers"
326011454883314,"Plein 2","",326011454883314,52.079338000000000,4.314570000000000,"Tweede Kamer der Staten-Generaal","Tweede Kamer der Staten-Generaal"
213267431,"","",108700782494847,51.450000000000003,-2.583330000000000,"Bristol, United Kingdom","Bristol"
215138884,"","",111569242193963,30.663399999999999,-81.451700000000002,"Fernandina Beach, Florida","Fernandina Beach"
213213692,"","",106220079409935,36.164999999999999,-86.783888888888995,"Nashville, Tennessee","Nashville"
297581007,"","",105604449474183,47.000000000000000,2.000000000000000,"France","France"
281826579025374,"","W12, London",281826579025374,51.509444899999998,-0.222895700000000,"Westfields Shepards Bush","Westfields Shepards Bush"
452315791,"","",736179199733189,51.952500000000001,4.046400000000000,"Maasvlakte","Maasvlakte"
215837107,"Airport Rd","Belfast",120008798034080,54.614751181415997,-5.870904163678700,"Belfast City Airport","Belfast City Airport"
215319850,"","",114818845200946,51.539279999999998,0.081300000000000,"Barking, United Kingdom","Barking"
230550180,"","",112372102112762,53.683399999999999,-1.496700000000000,"Wakefield","Wakefield"
234502407,"","",107499252613318,51.775913000000003,-8.311242999999999,"Fountainstown","Fountainstown"
213088813,"","Brussels, Belgium",114885670293,50.848387444704997,4.351429375566600,"Brussels","Brussels"
213690004,"","",112710045409378,50.842900000000000,-0.131300000000000,"Brighton","Brighton"
369515693061798,"Allwoods, London Road","Hassocks",369515693061798,50.936607025648002,-0.146470069885250,"Allwoods","Allwoods"
252216828,"","",106260212739167,57.412759999999999,-6.196070000000000,"Portree","Portree"
610867425,"23 Gilesgate","Durham, Durham",279763268782175,54.778785700000000,-1.566534800000000,"The Woodman Inn - Durham","The Woodman Inn - Durham"
